id,title,Release Year,runtime,Budget,CPI budget,Budget Type,revenue,genres
19913,(500) Days of Summer,2009,95,$7500000,$34325876,Mid,$60781545,"Comedy, Drama, Romance"
11548,*batteries not included,1987,106,$25000000,$20121942,Mid,$65088797,"Science Fiction, Comedy, Family, Fantasy"
17443,...And Justice for All,1979,119,$6000000,$1572455,Low,$33300000,Drama
8388,¡Three Amigos!,1986,103,$25000000,$38849461,Mid,$39200000,"Comedy, Western"
46536,1 Night in Paris,2004,63,$5595,$6164,Low,$10000000,Romance
9051,10,1979,122,$7000000,$1834531,Low,$74865517,"Comedy, Romance"
333371,10 Cloverfield Lane,2016,104,$15000000,$35069330,Mid,$110216998,"Thriller, Science Fiction, Drama, Horror"
4951,10 Things I Hate About You,1999,97,$16000000,$21568472,Mid,$53478166,"Comedy, Romance, Drama"
1237183,10 Things I Hate About You,2009,461,$13000000,$59498185,Mid,$1000000,Comedy
18587,10 to Midnight,1983,102,$4520000,$4150077,Low,$7175592,"Crime, Drama, Thriller"
7840,"10,000 BC",2008,109,$105000000,$80669981,High,$269784201,"Adventure, Action, Drama, Fantasy"
14098,100 Feet,2008,105,$10000000,$7682855,Low,$1415804,"Horror, Thriller"
11674,101 Dalmatians,1996,103,$54000000,$54337518,Mid,$320689294,"Family, Comedy"
10481,102 Dalmatians,2000,100,$85000000,$74243482,High,$183611771,"Family, Comedy"
13197,10th & Wolf,2006,107,$8000000,$7314510,Low,$143451,"Action, Crime, Drama, Mystery, Thriller"
18164,12 and Holding,2006,90,$400000,$365726,Low,$314017,Drama
17134,12 Rounds,2009,108,$22000000,$100689237,High,$17280326,"Action, Thriller, Crime"
429351,12 Strong,2018,130,$35000000,$42264017,Mid,$67450815,"War, Drama, Action, History"
76203,12 Years a Slave,2013,134,$20000000,$40271156,Mid,$187000000,"Drama, History"
44115,127 Hours,2010,94,$18000000,$32371980,Mid,$35692920,"Adventure, Drama, Thriller"
10096,13 Going on 30,2004,98,$37000000,$40763087,Mid,$96455697,"Comedy, Fantasy, Romance"
300671,13 Hours: The Secret Soldiers of Benghazi,2016,144,$50000000,$116897767,High,$69411370,"War, Action, History, Drama"
155084,13 Sins,2014,93,$5000000,$9090998,Low,$13809,"Horror, Thriller"
3021,1408,2007,104,$25000000,$25848789,Mid,$132963417,"Horror, Mystery, Thriller"
1492,1492: Conquest of Paradise,1992,154,$47000000,$45769540,Mid,$7191399,"Action, Adventure, Drama, History"
2749,15 Minutes,2001,120,$60000000,$62618824,Mid,$56359980,"Action, Crime, Thriller"
2207,16 Blocks,2006,105,$55000000,$50287259,Mid,$65664721,"Action, Adventure, Crime, Thriller"
16996,17 Again,2009,102,$20000000,$91535670,High,$136316880,Comedy
14902,1776,1972,180,$6000000,$5408205,Low,$2800000,"Drama, History"
530915,1917,2019,119,$100000000,$162758460,High,$394638258,"War, History, Thriller"
11519,1941,1979,118,$35000000,$9172655,Low,$94900000,"Comedy, War"
84165,2 Days in New York,2012,91,$8000000,$11402782,Low,$1653792,"Comedy, Drama, Romance"
584,2 Fast 2 Furious,2003,108,$76000000,$98746492,High,$236350661,"Action, Crime, Thriller"
136400,2 Guns,2013,109,$61000000,$122827025,High,$131940411,"Action, Comedy, Crime"
159014,20 Feet from Stardom,2013,89,$1000000,$2013558,Low,$5892466,"Documentary, Music"
15256,200 Cigarettes,1999,101,$6000000,$8088177,Low,$6852450,"Comedy, Drama, Romance"
7290,2001: A Space Travesty,2000,99,$26000000,$22709771,Mid,$270813,"Comedy, Science Fiction, Action"
4437,2010,1984,116,$28000000,$19203819,Low,$40400657,"Thriller, Science Fiction"
14161,2012,2009,158,$200000000,$915356697,High,$791217826,"Action, Adventure, Science Fiction"
126509,2016: Obama's America,2012,87,$2500000,$3563369,Low,$33400000,Documentary
787838,2019: A Cinematic Odyssey,2019,480,$10000,$16276,Low,$100000,Adventure
342737,20th Century Women,2016,119,$7000000,$16365687,Low,$5664764,Drama
8065,21,2008,123,$35000000,$26889994,Mid,$159808370,"Drama, Crime"
107811,21 & Over,2013,93,$13000000,$26176251,Mid,$48065672,Comedy
535292,21 Bridges,2019,99,$33000000,$53710292,Mid,$49939757,"Crime, Action, Drama"
470,21 Grams,2003,124,$20000000,$25985919,Mid,$60427839,"Drama, Crime, Thriller"
64688,21 Jump Street,2012,109,$42000000,$59864605,Mid,$201585328,"Action, Comedy, Crime"
187017,22 Jump Street,2014,112,$50000000,$90909981,High,$331333876,"Crime, Comedy, Action"
