Title,Release Year,Runtime,Budget,CPI Budget,Revenue,CPI budget,Budget Type,Genres
The Aristocats,1970,78,"4,000,000.00","33,226,804.12","55,675,257.00","2,020,826.00",Low,"Animation, Comedy, Family, Adventure"
"Count Yorga, Vampire",1970,93,"64,000.00","531,628.87","7,000,000.00","32,333.00",Low,Horror
Myra Breckinridge,1970,94,"5,000,000.00","41,533,505.15","3,000,000.00","2,526,033.00",Low,"Comedy, Drama"
Beneath the Planet of the Apes,1970,95,"3,000,000.00","24,920,103.09","18,999,718.00","1,515,620.00",Low,"Adventure, Science Fiction, Mystery"
Love Story,1970,99,"2,200,000.00","18,274,742.27","136,400,000.00","1,111,455.00",Low,"Romance, Drama"
El Condor,1970,102,"35,000,000.00","290,734,536.08","4,500,000.00","17,682,231.00",Low,Western
Joe,1970,107,"106,000.00","880,510.31","19,319,254.00","53,552.00",Low,"Drama, Thriller, Crime"
Beyond the Valley of the Dolls,1970,109,"2,090,000.00","17,361,005.15","40,000,000.00","1,055,882.00",Low,"Comedy, Drama, Music"
Chisum,1970,111,"4,000,000.00","33,226,804.12","6,000,000.00","2,020,826.00",Low,Western
Zabriskie Point,1970,113,"7,000,000.00","58,146,907.22","1,000,000.00","3,536,446.00",Low,Drama
Two Mules for Sister Sara,1970,114,"2,500,000.00","20,766,752.58","5,050,000.00","1,263,017.00",Low,"Adventure, Western, Romance, Comedy"
M*A*S*H,1970,116,"3,500,000.00","29,073,453.61","81,600,000.00","1,768,223.00",Low,"Comedy, Drama, War"
The Boys in the Band,1970,118,"5,500,000.00","45,686,855.67","3,500,000.00","2,778,636.00",Low,Drama
The Molly Maguires,1970,120,"11,000,000.00","91,373,711.34","2,200,000.00","5,557,273.00",Low,"Drama, History, Thriller"
The Ballad of Cable Hogue,1970,121,"3,716,946.00","30,875,559.17","5,000,000.00","1,877,826.00",Low,"Comedy, Western, Action"
Catch-22,1970,121,"18,000,000.00","149,520,618.56","24,911,670.00","9,093,719.00",Low,"War, Comedy"
