title,original_language,Release Year,Budget
Class of 1999,en,1990,
Total Recall,en,1990,
Total Recall,en,1990,
Frankenhooker,en,1990,
Young Guns II,en,1990,
Bride of Re-Animator,en,1990,
The Hunt for Red October,en,1990,
Die Hard 2,en,1990,
Jacob's Ladder,en,1990,
DuckTales: The Movie - Treasure of the Lost Lamp,en,1990,
Awakenings,en,1990,
Cry-Baby,en,1990,
Dick Tracy,en,1990,
Marked for Death,en,1990,
Edward Scissorhands,en,1990,
The Rookie,en,1990,
Lionheart,en,1990,
Another 48 Hrs.,en,1990,
Hard to Kill,en,1990,
Joe Versus the Volcano,en,1990,
Flatliners,en,1990,
The Adventures of Ford Fairlane,en,1990,
GoodFellas,en,1990,
Quick Change,en,1990,
Death Warrant,en,1990,
Repossessed,en,1990,
Hardware,en,1990,
Mermaids,en,1990,
Gremlins 2: The New Batch,en,1990,
Revenge,en,1990,
Lord of the Flies,en,1990,
Rocky V,en,1990,
The Exorcist III,en,1990,
Wild at Heart,en,1990,
Quigley Down Under,en,1990,
Bird on a Wire,en,1990,
A Grand Day Out,en,1990,
King of New York,en,1990,
Tremors,en,1990,
Night of the Living Dead,en,1990,
The Freshman,en,1990,
Predator 2,en,1990,
Ghost,en,1990,
Miller's Crossing,en,1990,
Kindergarten Cop,en,1990,
RoboCop 2,en,1990,
Delta Force 2: The Colombian Connection,en,1990,
The NeverEnding Story II: The Next Chapter,en,1990,
"No Retreat, No Surrender 3: Blood Brothers",en,1990,
Back to the Future Part III,en,1990,
The Witches,en,1990,
The Godfather Part III,en,1990,
Dark Angel,en,1990,
Presumed Innocent,en,1990,
The Guardian,en,1990,
Days of Thunder,en,1990,
Problem Child,en,1990,
Henry & June,en,1990,
Teenage Mutant Ninja Turtles,en,1990,
Dances with Wolves,en,1990,
Misery,en,1990,
My Own Private Idaho,en,1991,
The Doors,en,1991,
Barton Fink,en,1991,
The People Under the Stairs,en,1991,
Return to the Blue Lagoon,en,1991,
Rock-A-Doodle,en,1991,
Terminator 2: Judgment Day,en,1991,
Problem Child 2,en,1991,
Freddy's Dead: The Final Nightmare,en,1991,
Star Trek VI: The Undiscovered Country,en,1991,
City Slickers,en,1991,
Cast a Deadly Spell,en,1991,
Zandalee,en,1991,
Bingo,en,1991,
Hook,en,1991,
Not Without My Daughter,en,1991,
Frankie and Johnny,en,1991,
Critters 3,en,1991,
Out for Justice,en,1991,
Boyz n the Hood,en,1991,
Night on Earth,en,1991,
Sleeping with the Enemy,en,1991,
Highlander II: The Quickening,en,1991,
Cape Fear,en,1991,
Nothing but Trouble,en,1991,
The Silence of the Lambs,en,1991,
Robin Hood: Prince of Thieves,en,1991,
